"Series","ModelID","ARMA_P","ARMA_Q","GARCH_P","GARCH_Q","Distribution","Model","AIC","BIC","HQIC","LogLikelihood","Convergence","Error"
1,28,1,1,1,2,"std","sGARCH",2.20585006046484,2.21953262620409,2.20584033217631,-3986.79445950183,FALSE,NA
1,29,0,0,2,2,"std","sGARCH",2.21033042614771,2.22230267116955,2.21032297519388,-3995.90840175349,FALSE,NA
1,30,1,0,2,2,"std","sGARCH",2.20466481173213,2.21834737747137,2.20465508344359,-3984.64797404688,FALSE,NA
1,31,0,1,2,2,"std","sGARCH",2.20445937891361,2.21814194465286,2.20444965062507,-3984.27593521255,FALSE,NA
1,32,1,1,2,2,"std","sGARCH",2.20164358547463,2.21703647193128,2.20163127762341,-3978.17653329456,FALSE,NA
1,33,0,0,1,1,"sstd","sGARCH",2.20430805249438,2.21456997679881,2.2043025763147,-3986.00188306732,FALSE,NA
1,34,1,0,1,1,"sstd","sGARCH",2.19698560274223,2.20895784776407,2.1969781517884,-3971.74092656618,FALSE,NA
1,35,0,1,1,1,"sstd","sGARCH",2.19635478934667,2.20832703436851,2.19634733839284,-3970.59852350681,FALSE,NA
1,36,1,1,1,1,"sstd","sGARCH",2.18874442759265,2.20242699333189,2.18873469930411,-3955.81615837028,FALSE,NA
1,37,0,0,2,1,"sstd","sGARCH",2.20162322024942,2.21359546527126,2.20161576929559,-3980.13965187169,FALSE,NA
1,38,1,0,2,1,"sstd","sGARCH",2.19323783124316,2.20692039698241,2.19322810295463,-3963.95371238137,FALSE,NA
1,39,0,1,2,1,"sstd","sGARCH",2.19250923195752,2.20619179769677,2.19249950366898,-3962.63421907507,FALSE,NA
1,40,1,1,2,1,"sstd","sGARCH",2.18513082559851,2.20052371205516,2.18511851774728,-3948.2719251589,FALSE,NA
1,41,0,0,1,2,"sstd","sGARCH",2.20514339139048,2.21711563641232,2.20513594043665,-3986.51468180816,FALSE,NA
